Date,2026-07-23,Net Asset,16370180121.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台灣積體電路製造,634000.0,9.31%,2405.0,1524770000.0,0.0,0.0
2454,聯發科技,269000.0,6.37%,3875.0,1042375000.0,0.0,0.0
2308,台達電子工業,414000.0,4.75%,1880.0,778320000.0,0.0,0.0
2383,台光電子材料,151000.0,4.7%,5095.0,769345000.0,0.0,0.0
2059,川湖科技,91000.0,4.56%,8200.0,746200000.0,-19000.0,-155800000.0
3037,欣興電子,562000.0,3.08%,896.0,503552000.0,0.0,0.0
6223,旺矽科技,76000.0,2.9%,6250.0,475000000.0,0.0,0.0
7769,鴻勁精密,73000.0,2.88%,6465.0,471945000.0,-7000.0,-45255000.0
3081,聯亞光電工業,237600.0,2.66%,1830.0,434808000.0,0.0,0.0
2408,南亞科技,889000.0,2.31%,426.0,378714000.0,204000.0,86904000.0
2317,鴻海精密工業,1447000.0,2.28%,257.5,372602500.0,0.0,0.0
3653,健策精密工業,100000.0,2.27%,3710.0,371000000.0,0.0,0.0
2368,金像電子（股）公司,393000.0,2.26%,941.0,369813000.0,0.0,0.0
6515,穎崴科技,55000.0,2.22%,6610.0,363550000.0,0.0,0.0
2345,智邦科技,147000.0,2.09%,2325.0,341775000.0,0.0,0.0
3017,奇鋐科技,131000.0,1.95%,2440.0,319640000.0,0.0,0.0
2360,致茂電子,143000.0,1.88%,2155.0,308165000.0,0.0,0.0
3711,日月光投資控股,400000.0,1.59%,649.0,259600000.0,0.0,0.0
3443,創意電子,59000.0,1.58%,4380.0,258420000.0,-11000.0,-48180000.0
6669,緯穎科技服務,47000.0,1.57%,5470.0,257090000.0,5000.0,27350000.0
5274,信驊科技,16300.0,1.55%,15540.0,253302000.0,2000.0,31080000.0
8046,南亞電路板,203000.0,1.53%,1230.0,249690000.0,-16000.0,-19680000.0
2327,國巨,345000.0,1.47%,696.0,240120000.0,0.0,0.0
1303,南亞塑膠工業,1212000.0,1.46%,197.0,238764000.0,461000.0,90817000.0
8299,群聯電子,120000.0,1.41%,1920.0,230400000.0,0.0,0.0
2376,技嘉科技,623000.0,1.35%,354.5,220853500.0,70000.0,24815000.0
3036,文曄科技,1067000.0,1.35%,207.5,221402500.0,0.0,0.0
6274,台燿科技,164000.0,1.34%,1335.0,218940000.0,34000.0,45390000.0
2382,廣達電腦,647000.0,1.33%,336.0,217392000.0,0.0,0.0
2891,中國信託金融控股,3264000.0,1.27%,63.5,207264000.0,0.0,0.0
5904,寶雅國際,312450.0,1.21%,635.0,198405750.0,0.0,0.0
8996,高力熱處理工業,181000.0,1.19%,1075.0,194575000.0,-40000.0,-43000000.0
2344,華邦電子,1153000.0,1.13%,161.0,185633000.0,0.0,0.0
3293,鈊象電子,225000.0,0.98%,713.0,160425000.0,37000.0,26381000.0
4958,臻鼎科技控股,318000.0,0.98%,506.0,160908000.0,0.0,0.0
8210,勤誠興業,132000.0,0.95%,1180.0,155760000.0,0.0,0.0
3529,力旺電子,60000.0,0.92%,2505.0,150300000.0,0.0,0.0
3231,緯創資通,871000.0,0.92%,173.5,151118500.0,171000.0,29668500.0
3008,大立光電,35000.0,0.89%,4140.0,144900000.0,0.0,0.0
3189,景碩科技,184000.0,0.88%,785.0,144440000.0,45000.0,35325000.0
2884,玉山金融控股,3867622.0,0.84%,35.65,137880724.29999998,0.0,0.0
6213,聯茂電子,324000.0,0.68%,343.5,111294000.0,136000.0,46716000.0
3026,禾伸堂企業,134000.0,0.57%,697.0,93398000.0,0.0,0.0
6805,富世達,54000.0,0.48%,1455.0,78570000.0,0.0,0.0
3665,貿聯控股（BizLink Holding In,32336.0,0.45%,2285.0,73887760.0,0.0,0.0
3264,欣銓科技,316000.0,0.42%,218.0,68888000.0,0.0,0.0
3044,健鼎科技,164000.0,0.41%,406.0,66584000.0,0.0,0.0
6831,邁科科技,83000.0,0.34%,670.0,55610000.0,0.0,0.0
6442,光紅建聖,37000.0,0.31%,1390.0,51430000.0,0.0,0.0
3533,嘉澤端子工業,13000.0,0.16%,2035.0,26455000.0,0.0,0.0
